제목	본문
공명 도 영 본 가래	진짜 집이 전시회급임 개웃겨 
이런 데서 결혼하는 게 거지 웨딩인가요	저가 웨딩홀교회 
전 직장 동료가 자살했다	우울하다전 직장 동료가 자살했다속마음 터놓고 지내던 사람이었다나보단 나이가 많았지만 아직 결혼하지 않은 조그마한 여자분이었다그래서 소개팅도 시켜주고 그랬는데 잘 안되었다고 했다나는 아이가 있어서 그렇다곤 하지만 선생님은 왜 지금 파트타임 하고 있냐고 물어봤다전 직장에서 너무 힘들어서 그만뒀고 여기 와서 그래도 일이 편해서사람 만나는 게 덜해서 좋다고 했다똑똑한 분이었다 근데 사람이 너무 힘들다고 했다 흔히 말하는 태움을 많이 당했다고 했다나도 태움을 많이 당했기 때문에 같이 이야기 하며 잘 지냈었다음료수 같이 하나 마시며 점심시간 내내 이야기 하다 헤어지곤 했다그 분은 아이를 좋아한다고 했다 그래서 나중에 내 아이를 보고싶다고도 했고그 분이 진심으로 잘 되길 바랬다근데 내가 다른 회사로 옮기고 나서 연락이 안되더니우연히 전 회사에 갈 일이 있어 가서 들으니 자살했다고 했다너무 충격적이었다너무 슬펐다눈물이 나왔다그 분이 사람때문에 힘들어서 거기서 일하고 있다고 했는데옆에서 또 괴롭히는 사람이 있었다그래서 종종 이야기 들어주고 같이 욕도 해주고 그랬었다그래도 그 분은 눈물을 흘린적은 없었다 나보다 언니였고 그냥웃으면서 욕했다 그랬던 그분이 자살했다니믿어지지 않았다 한번이라도 더 연락할껄 생각이 드니 자책하며 괴로운 시간을 보냈다듣자하니 힘들어서 자리 이동 요청을 했는데 들어주지 않았다고 한다그리고 핸드폰을 모두 초기화 하고 돌아가셨다고 한다경찰이 왔다갔다고 했다너무 힘들었다밤마다 생각이 났다 아이를 좋아한다던 그 분의 얼굴이 잊혀지지 않았다그리고 너무 화가났다왜 사람을 그렇게 괴롭히는 지그냥 가만히 두기만 하면 그래도 중간은 갈텐데안그래도 힘들어서 왔던 사람인데또 힘들어서 그만 그 분은 삶을 놔버린 것이다월급이 밀리는 것도 그냥 그러려니 했다고 했다카드값은 어떡하냐고 걱정했다 그냥 웃기만 하던 분이었다그래도 이 자리는 다른 자리보다는 스트레스를 덜 받으니까요 라고 말하던 분이었다직장내 괴롭힘 나도 너무 힘들어서 죽고싶었다괴롭히는 사람들은 자기들이 괴롭힌다는 사실도 인지하지 못한다아기가 있으면 아기를 안보고 왜 나와서 일하냐고 뭐라한다아기가 불쌍하다고 한다남편은 키가 어떻고 회사는 어디냐고 물어본다사는 집은 어디냐고 물어본다그리고 딸이니라고 하니 딸이 나를 닮아 키가 작겠다고 한다아들이면 큰일이었다고 한다왜 그들은 모를까싸워도 봤다근데 싸우니 집단으로 따돌리더라워낙 따로 업무하는 시스템이라 그냥 내 할일만 열심히 해봤다근데 인사해도 유령취급하고 나를 빼놓고 내 뒤에서 다같이 간식 시간 갖다면서나는 업무 통화하고 있는데 다같이 하하호호 웃고 떠들며애들이 왕따시키는 것처럼 사람을 반 병신으로 만든다새로운 사람이 들어올라 치면그 사람의 이력서를 다같이 보면서 이 사람은 어떻고 저떻고 평을 한다일 잘하는 거 필요없고 우리랑 잘 맞는 사람이어야 한다고 했다경력자는 부담스럽고 뭣모르는 신입이 들어왔으면 좋겠다고 했다그랬다고 한다 나도 그랬지만 자살하신 그 분도 그랬다 한다똑같았다며 둘이 웃었다당한걸 서로 더 심하게 당했다며 이야기 하면서 터덜터덜 웃곤 그랬다그랬는데 그 분이 자살했다믿어지지 않아 같이 잘해보자고 했는데같이 힘내자고 했는데 
노제  김지향	둘 다 외모 개쩌는 댄서라서 궁금함 실력 면에선 누가 압승인거같음  추 노제 반 김지향 
환승연애 이거머임	누가뽀샵한건가 잘생겻다 
이하이 욕먹는 이유가 이 거임	비아이 마약 형집행 오늘 선고 받았는데 굳이 상받는데 어제 언급재판 진행중에또 라디오에서 언급자꾸 범죄자 찬양하는데 이상하지 몇년 자숙 지난것도 아니고 
펜하 스포이 거 찐이였내	 
리사 솔로 곡 추반해보자	기대보다 별로다 추기대보다 좋다 반블랙핑크 제니 로제 라리사 지수
스우파 이 댓글  공감	이거 진짜 맞는 말인 듯특히 외국인들 반응이 개난리임 뭐 불쌍하다는 둥 왕따 아니냐는 둥  할많하않 
나 살면서 이렇게 큰 낙지 첨봄 	문세윤 조세호랑 황제성 강재준 나오는 프로그램인데마지막에 세발낙지를 잡아야 낙지 음식을 먹을 수 있는 미션이거든아니 진짜 낙지 잡는 미션일줄 알았는데 근데 이분 김두영 아님무슨 분장 하시든 찰떡인듯  
투바투 영원럽 새뮤비 개이 뻐	연준 수빈범규태현휴닝카이완전 넷플릭스 재질 투바투야 리믹스버전 나온다고해서 뮤비는 기대 없었는데 진짜 개이쁘게 나옴 노래도 좋고 
태국에서 리사하면 어느 정도임	 
시외가에 조카 며느리 오면 외숙모들도 싫지 않나요진짜 궁금	반반결혼해서결혼전에명절에 한번은 시가 먼저 한번은 친정 먼저 가기로 약속했는데결혼 후에싹 말 바꾸고시어머니가 시가 시외가 코스까지 통보했어요가서 일은 안 시키시는데제가 어떻게 또 아무일도 안 할 수는 없으니그냥 뭐 음식 나르기 과일 깎기 정도 했어요친정에서도 일절 안 시키세요시가는 그런데 은근히 저만 하기를 바라는 입장이고요거기 남자들은 죄다 놀아요 어이 없음저희 친정은 아버지가 나서서 전 부치십니다엄마 전업주부암튼 각설하고이번에도 시엄마가 시외가 가야한다고 운 떼셨는데거기 시외가쪽 시외숙모들은시조카랑 시조카 며느리 오면 과연 좋을까요전 그게 의문이에요 그분들도 성인 명분 더 오면 짱날 거 같은데그렇다고 시누제 시엄마가 있으니 저 일도 막 못 시키실 거고일단 시외가 가야하는 이유부터 모르겠지만시외할머니가 저한테너도 이제 명절 때 일 해야 한다 남편 밥 차려줘야하니까 직장바꿔라 이러시는 분이라 가기 싫어요가도 뭐 하는일 없이 한 시간 앉아있다 오고 가까워서과일 깎은  다그냥 갔었는데시외숙모 입장에서도  좀 황당할 거 같아서요시누이가 미울 거 같은데혹 달고 오는 거잖아요솔직히 저는 죽어도 가서 일할 생각 없어요만약에 시어머니가 아들남편도 시키시고 동등하게 시키시면할 마음 있어요저만 종 취급 하는거 그지같아서 안 하려고 하는거거든요암튼 시외숙모 입장에서도 매우 귀찮을 거 같은데아닌가요일단 시외숙모가 기분이 상한다면제가 아니라 시누이인 저희 시어머니한테 기분상하는 게 맞겠죠저는 일단 시외가 가는 거 결혼전에 상상도 안 했고 도리도 아닌데가는거니까요제가 욕먹는 일은 없겠죠아 제가 시외숙모는 좋아하는데사이다 발언 하셔서참 안타깝네요시어머니는 굳이 부득불 왜 저를 명절 때 자기 친정에 끌고다니실까요저희 친정은 자투리 시간에 가라고시외숙모가 불쌍해요저희 시어머니같은 분이 시누이라니 
수시 원서에 넣는 사진 잘 아는 사람	우리 담임 쌤은 사진에 교복 나오면 안 된다 했거든 그래서 확대해서 교복 안 나오게 했어근데 사진 등록할 때  규격에 맞춰야 된다면서 원본으로 돌아오면서 교복이 보여교복 보여도 상관 없어 
이 영상 개빡친다 	팅커벨 쇼케이스에 현주랑 나은이 우니까 지숙이 달래 주는 건데 댓글에 왜 나은은 가서 토닥토닥하고 현주는 안 해 주냐고  눈이랑 귀가 있으면 보고 들어라 지숙이 현주 울 때만 해도 엄청 말로 달래 주고 채원이 옆에서 추스려줬잖아 나은은 맨 끝자리고 아무도 신경 안 써 주니까 지숙이 그런 거겠지 이때싶 이런 영상으로 지숙 패는 거 조카 추함  신발에이프릴 레인보우 지숙 나은 현주 채원
과거 낙태 물어보는 예비 신랑	예랑이가 자꾸 했는지 안했는지 물어보는데번이라도 했으면 말해야 해요 진료기록이나 내진검사로 자궁 벽 긁은거 보고 낙태했는지 알수있나요결혼 전에 꼭 말해야 되는 건가요제 과거 친구나 지인한테 얘기한적도 없고 아무도 몰라요병원기록 안남을건데 흥신소나 어디 의뢰한건가 싶어요 
성우들이 말하는 더빙이 있어야 하는 이유	 
장원영 얼굴  작나보다	이 사진 보니까 뭔가 확 와닿음 심지어 키도 큰데 머리는 왜 같이 안자랐냐  부럽노 
더보이즈 김선우 조카 내 취향으로 생겼내	선우짤 구합니다더보이즈 선우 김선우 현재 주연 영훈 덥뮤다 뉴 큐 케빈 에릭 상연 제이콥 주학년
전 좋은 시댁인 듯한데 남들은 나쁘다 하네요 	물론 저만 좋으면 그만이긴 한데남들은 얼른 탈출하라는 식으로 얘기하면서이게 뭐가 좋은 시댁이냐고 너무 자주 보는 거고연락 강요하는 것도 나쁜 거라면서혹시 너 가스라이팅 당하고 있는 거 아니냐 그래서요그래서 시댁 연락이랑 만난 일들만 적어봅니다편의상 음슴체 쓸게요사전정보신혼집은 대전 시댁은 서울입니다결혼 전연락 자주 했음 좋겠다 하심결혼 개월 전 설 당일에 와서 외가식구들 인사드리면 좋겠다하셨으나 예비남편이 커트결혼 개월 전 어머님 생신 식사 함께 함결혼 개월 전 어머님의 어머님시외할머님 산소 아버님의 아버님시할아버님 산소 다녀와서 식사함지방결혼 개월 전 시할머님께 인사드리고 저녁 식사함결혼 개월 전 예단 드리러 가서 식사함본인 자발적으로 시댁 놀러가서 하루종일 놀다 온 날도 있고스튜디오 촬영날엔 어머님이랑 둘이 밥도 먹고 네일아트도 받고 함 결혼 후카톡으로 주로 연락드렸는데 어머님께서 목소리가 듣고 싶다 하셔서 주일에 한번은 전화드림신행은 코로나로 취소되어 못갔음 결혼식 주일 후 시할머님께 인사가고 시댁에서 박함주 후에 셋째 시이모부님 병문안을 감지방  시댁이랑 각별한 집이라 인사가야한다 하심가서 셋째 시이모님 남편의 사촌 두 분이랑 차 마시고 얘기하다 옴월결혼 달 후 아버님 생신이라 박시사촌시누이 시사촌시누이 남편이 시댁이랑 각별한 사이라 같이 식사처음엔 박인 줄 몰랐는데 아버님 생신인데 당연히 박 아니냐며 잘못된 생각이라고 조금 혼남월에 신혼집 집들이 우리집에서 시누이까지 모두 박다음날 우리집 근처 지방에 볼일이 있으셔서 박을 하고 싶다 하셔서 처음에 편하게 호텔 잡아드린다했었는데 호텔에 가느니 서울에 다시 가서 자고 내려오겠다 하셔서 우리집으로 모심월 초 추석 연휴 첫날에 가서 박하고 당일에 차례 지내고 아침 먹고 나옴월 중순에 본인 혼자 시댁 가서 하루 종일 있다 옴 경미한 교통사고를 당하셨다 해서 뵈러간 것월 중순에 시댁에서 크리스마스 홈파티 박월 중순 설 전날 박 당일에 아침 먹고 나옴월 말 본인 생일 며느리 첫 생일은 시어머니가 챙겨주는 거라 하셔서 식사월 초중순 금요일 제사 다음날이 토요일이니 박 하라 하셔서 박결혼 전에 여름휴가 박 무조건 있다고도 하셨었는데 코로나 때문에 못갔어요생일 선물 챙겨주심 겨울에 코트 같은 것만 입고 다닌다고 새 코트 사주심친정 아버지 생신 선물 따로 챙겨주시면서 내가 준비한 거라하고 드리라하심결혼기념일에 맛있는 거 사먹으라고 따로 챙겨주심김치나 장류 매번 챙겨주심시댁 가면 하도 일 못하게 하셔서 내가 찾아서 함평소엔 주변에 시댁 얘기 전혀 안하다가 올해 아버님 생신을 신혼집에서 치르고 자고 갈테니토 아침일에 미역국 끓여놓으라 하셔서저는 일요일 아침에 출근출근한다 했더니 일정을 바꿔보라 하셨고못바꾼다 했더니 저 출근하면 알아서 먹고 갈테니미역국만 끓여놓으면 다른 음식은 어머님이 챙겨오겠다 하시더라고요너무 일방적인 통보라 남편한테 엄청 화냈고 남편도 화가 나서 시어머님이랑 싸우고 어찌저찌 마무리 됐습니다이게 저한테 임팩트가 너무 컸던지라 친한 사람들 몇 명한테 얘기했더니 판에 올리면 욕 먹는 시댁 아니냐고아무리 잘해주면 뭐하냐고 뭐라뭐라 하더라구요전 지금까지 시댁 잘 만났다 생각하고 살다가미역국 사건 때문에 쪼큼 기분 상한 게 다라서친구들 반응 보고 너무 놀랐어요여러분들의 생각은 어떠신지요
방탄 찐으로 우주도 잡을 생각인가	챌린지뮤비에서 우주인이 춤추는데  
리정  있지 멤버 같지 않냐	 소속이긴한데 얼굴이  제왑같음 예지 리아느낌 남 
블랙 핑크 리사 충격적이네	선주문 만에서 순수 국내 판매량 장
리사 역대급 푸쉬인데 와지에 핑계 그만	리사 악개들 이젠 진짜 짜증날려고 하네와이지 리사 데리고 그것밖에 못하냐고 그러는데 역대급 서포트해준거 잖아 그만좀 핑계대전국관에서 대대적 홍보 싱글인데도 종발매골든티켓  판매량 영향 미치고  비쥬얼티저까지 해주고 음원음반 동시 발매에다가 와이지 역사상 최초인걸로 아는데 이정도면 푸쉬 버프 역대급으로 해준거야로제나 제니한테는 해주지도않은거 다 해줬으면 된거지 뭘더바래서  이정도밖에 못하냔 소리해 그냥 리사 인기나 역량이 거기까지야 그 정도면 역대급 푸쉬인데  자꾸 어이없는 소리 좀 하지마라제니  로제는 그렇게 안해줬어
이 나은 학폭글 완전 주 작 아니야	나 이글 처음 봤을 때부터 학년이 다른데 괴롭힐 수가 있나 싶었거든근데 사람들은 이 글을 다른 서공예 동창들이 진짜라고 댓글 다니까 막 찐이라고 믿고 누군가를 왕따 시켰다고 하면서 대상자가 누군지 잘 모르는 뉘앙스갑자기 검색해본 후 아현주맞네연기하는 것도 아니고 이나은은 년도에 학년근데 쓰니 언니는 년도 학년 때 같은 반이었다 이나은이 이현주 왕따 시키는거 직접 봤다함그럼 이현주는 나은이 반까지 찾아와서 스스로 왕따 당했다는 건가 이현주랑 같은 반 년내내 했다근데 선배들말 들어보면 왕따 괴롭힘이 장난아니었다 년도 현주가 학년일 때 학년 선배들은 학년 나은이가 학년 현주를 괴롭히는걸 어떻게 알았지직접 본게 아닐텐데 누구한테 그걸 들었을까 그리고 웃긴건 아래 글에서도 설명하겠지만 따돌림 당한거 년도라고 함 년도 당시엔 졸업한 현주 선배들은 그걸 어떻게 봤을까 에이프릴 멤버들이라는 워딩으로 두 사람 이상임을 나타냈고 에이프릴 좋게봤다는 입학식 축하공연 년도임  따라서 서공예 현주보다 후배인 학생들은  년도부터 현주가 따돌림 받았다고 생각했다함자기가 다른 사람한테 들었다 언니한테 들었다 선배한테 들었다라고 주장하는 댓글 단 네 사람은 뭐 그렇다쳐도이나은 초등학교  중학교는 모르겠지만 서공예에서 이현주 학폭 했다는 글은 완전 주작일 수밖에 없음 난 그때 당시에 이거 믿는다는게 신기했음그리고 또 신기한건 이게 왜 현주 동생 왕따글 하루전에 올라왔을까 
아니 펜트하우스 개어이없지 않음	스포있음남들이 펜하 다 욕할때 그래도 뭐 있겠지 하면서 꿋꿋이 본 내가 한심스러울 정도번외편이 있는건지 마지막회에 온갖 떡밥은 다뿌려놓고 파란장미 꽃말은 뭐고 석경이가 놀란 그 노숙자는 뭔데 그리고 심수련 오윤희는 걍 저렇게 죽어버린다고 천서진이 밀 걸 예상하고 있었단거야진짜 결말 노답이다그냥 시즌 까지 끌고 가더라도 개연성 지켜서 깔끔히 끝내는게 차라리 나았을거같음 어떻게든 시즌  이내에 끝내려고 구겨넣은 느낌 너무 남
더보이즈 주연	진짜 개미쳤다 더보이즈 원래 잘 몰랐는데 땡깡 영상 보고 스릴라이드 노래가 좋아서 무대 영상 찾아봄 근데 주연 진짜 미쳣음 완전 내스타일 왜 지금까비 모르고 살았나싶고 말로 표현불가임 땡깡  고마움 입덕함
솔직히 잘나가는 아이돌 중에서	판에서 안까이는 아이돌 있냐방탄 전부제니태용장원영에스파 특히 카리나슼덥판까흥이라고 하는데 그거 판에 대한 과대평가임판이 뭔 예지능력 있다고 판에서 까이면 흥하겠냐이미 흥한 아이돌 까는데 미쳐있는거지  
중  고등학교 골라줘	추얼마전에 남고에서 공학으로 변경된 자사고 내신따기 조카 어렵고 개빡셈 생기부 잘써줌 걸어서 분 정도 버스타기 애매해서 맨날 걸어다녀야함 버스타도 분 넘음 같은재단에 있는 초중 다 빡센걸로 알고있음 참고로 여기 재단에 있는 사립초나옴 우리지역에선 제일 유명함 공부잘하는애들 다 여기갈려고함 반집앞 여고 걸어서 분거리임 상업고라 공부쪽은 아님 일진 양아치 조카많음 여기랑 같은 재단에 있는 중학교다니고있는데 수준조카낮음 여기 고등학교는 어떨지 잘 모르겠는데 우리언니 먼데 가기싫어서 여기가려고했다가 엄마한테 개처맞음어디 갈까 고등학교좀 골라줘 우리집이 좀 애매한 위치라 저기 두개 아니면 차타고 시간거리 학교 가야됨 뷰티 틴트 화장 메이크업 
블핑 솔로 앨범 아트 모음	제니 로제   리사 지수 사진도 잘보면 로제니 대칭이고리사도 저렇게 찍었으니 지수랑 대칭이려나
와 제니 미국에서	캘빈클라인 캠페인 대박
가난한 애들  개싫은 이유	 맨날 돈 없다함 뭐 놀자 해도 돈없음 먹자 해도 돈없음근데 지 사고싶은 건 사면서 먹을 땐 돈 안쓰고 얻어먹을라함 거지근성 됨 지가 그렇게 돈 없다 해서 사줄테니까 같이 가자 함 근데 사주는 사람보다 비싼거 고르는 건 뭐임 난 아무리 친해도 걔가 사는 거보단 같거나 싼거 고름  돈도 없는게 딴 애들 집안사정이나 입는 옷 브랜드는  이러쿵 저러쿵 얘기함  진 걔네가 입은 거 살 돈도 안되면서 근데 쟤네 집은 별로 안넓다 저건 얼마 안한다 지 집이 더 좁고 그 얼마 안하는 것도 못사는게 팩트임 굳이 경제적인 부분 아니더라도 열등감에 똘똘 뭉침 
남친과의 여행 경비 문제로 다퉜어요	안녕하세요 살 동갑커플이예요 얼마전 박 일로제주도 여행을 갔어요대충 예산만 원 정도로잡고제가 그냥편하라고남자친구 계좌로만 원을먼저 입금해줬어요 그걸로 이제박 숙소 잡고 렌트 비행기값까지해서만 원이 나왔고남자친구가결제를 했어요예산잡은 거에서만 원 정도가남았고 제주도에서기름값 넣고먹을 거다 먹으니만 원조금 안되게 써서대략쓰기로 한비용에서만 원 정도가 남았는데마지막 날공항에서면세점을 들려서이것저것 보다가 립이랑 향수사고자기도 살 거 있으면 사라고하니까 자기는됐다고 하더라고요 그리고 결제를하려고 하는데그냥 뒤에서만멀뚱하게 서있길래 자기야계산해 줘이러니까떨떠름한 표정으로마저 못해 계산하더라고요그거 사고도어쨌든 만 원정도가 남은 상황 이었는데 이거 샀으니별말 안 했죠근데 계속남자친구가 표정도 안 좋고내 말에대꾸도안 하길래예상은 했는데도착해서 각자 집으로헤어지고짐 풀려고하는데톡이 오더라고요 굳이그 남은 돈을기어코다 쓰려 하냐면서계산적이라는 둥그러길래 엄청 당황스럽네요 어쨌든초반에 전 을현금으로 줬고 한 달 반이지난 후여행을 와선먹는 거 쓰는 거면세점다 지 카드로계산이되니 자기가비용 전부를부담한냥착각을 하는 거 같더라고요 진짜너무 병신 같고내가 이런취급당해야 되나싶어서쌍욕을 하고헤어졌는데아직도병신 같은말을 지껄입니다 만약여러분들 같으면비용을 먼저줬더라도 경비가남은 상황에그냥연인 쓰라고내버려 두나요 
유부남이 껄떡거려서 친구한테 푸념했더니 내 남편은 안 그래	유부남이 자꾸 껄떡거려서친구 결혼함 한테 남자들 왜 그런지 몰라 짜증난다 가정적으로 보여도바람핀다 그냥 말이 튀어나왔는데내 남편은 안그래이래서 벙쩠네요 누가 니남편이 그렇대 이렇게말해줬어야 하는데 황당해서 암말도 못한게 짜증나네요유부녀 친구랑 친구하기 힘드네요사사건건 그냥 뭔 말을 못해요 
대환장이라는 어떤 남돌의 여 돌 첫 인상	세븐틴 부승관이 푼 여자친구 신비 첫인상 썰임살 시절 활동이 겹쳐서 음방 대기실을 나란히 쓰게 됨벌써 웃긴 신비미간을 확 찌푸리고 대기실에서 나오는 신비를 본 부승관친절히 표정 묘사도해줌신비 주변인들 공감의 빵터짐존똑임개똑같음근데 그 표정은 신비가 뭔가를 집중하거나 맛있는걸 먹거나 하면 나오는 무의식적인 표정이었던듯대충 이런거당연히 그걸 알리가 없었던 승관이는쟤는 뭐가 이렇게 불만이 많을까무슨일인지 들어주고싶다라고 생각했다함친해지고 방송국에서 찡그리고 있는 신비를 만나면 승관이가 저 멀리 복도에서부터은비야미간미간인상이라고 소리쳤다곸그럼 신비는 그 소리를 듣고 또 이렇게 빵긋 웃음아 둘다  
오 월 브랜드 평판	방탄 스키즈 엔시티 순이네굳건한 방탄도 대단하고발전한 스키즈랑 엔시티도 대단하네
나 몸무게 많이 심각해	이정도면 통통인가 남자들이 딱 좋아할 육덕 스타일인가  어때 
니네 이 거 어 케 생각함	미성년자때 잠자리 갖는거추천  상관없음 피임 잘하면됨반대  안된다고 생각함댓글로 이유 달아주면 좋고 내가 쓴 댓글에 추반도 눌러줘 학교에서 발표하게된 주제인데 요즘 인식 참고용으로 쓰려고 해주면 복받을겨 
한국인의 삼겹살 대접에 화가 난 외국인	 
에이프릴 알바들 봐봐 	현주구독하고 한꺼번에 취소해서 저렇게 만든거아님 나도 에이프릴 알바하고싶네 얼마주냐 자칭 나 타팬인데하는 병신프릴팬들아 
경제감각 제로인 남자친구와 결혼이 고민됩니다	너무 답답해서 처음으로 판에 글을 적어봅니다댓글로 의견 주세요전 살 남자친구는 살입니다올해로 연애년차 로 시작한 커플입니다 내년봄 결혼 예정으로 결혼준비중입니다그런데 요즘남자친구의 경제관념 때문에 마음고생중입니다우선 남자친구는 월급정도의 직장인이고 달전 퇴사후 이직준비중입니다저는 정도 받는 직장인이구요남자친구 결혼자금 억정도 있고 저도 년정도 열심히 모아서 넘게 모아가고 있습니다그런데 년반전쯤 남자친구가 이모에게 돈을 빌려주었습니다 남자친구 엄마가 중간에 껴서 돈을 빌려주게 된거 같아요 대략 정도 되는 돈이었습니다보험 약관대출로 돈을 빌려주고 이자는 그 이모가 내주었구요 그런데 그 이모가 이자도 제때 안부치고 남자친구 속을 썩였더라구요 결국 이사간다는 거짓말로 겨우 남자친구는 년만에 돈을 돌려받을 수 있었습니다그리고 작년 겨울 남자친구가 갑작스레 살던집을 정리하고 이사를 가야하는 일이 생겨서그 이모가 또 껴서 부동산을 소개시켜주고 집도 구했습니다 그때 저는 남자친구 이모니깐 믿었고 결혼준비전이라 이사비용이나 남자친구의 저축돈관리에 대한 관심이 없었습니다그러다 최근 그때 이모가 이란 돈을 안갚았고 아직도 줄생각조차 하지 않는다는 것이죠게다가 최근 년 동안 부모님을 한달에 만원을 년간 보조하면서 남자친구는 모은 돈이 없고결혼날짜를 확정지은후 퇴사를 했는데 만원도 안되는 퇴직금중에 만원을 부모님을 보조해준것을요솔직히 제가 번돈 아니라 왈가왈부 할껀 아니지만저도 부모님이 결혼에 보태줄 형편이 아니라 열심히 돈모으고 또 남자친구 옷신발생활용품 다 보조해주면서 힘들게 돈모으고 있었거든요부모님이 차가 필요하셔서 돈도 좀 지원해드린것도 있고해서 그냥 넘어가려고 했는데못받고 뭐 한달에 보조 해준거 다 넘어가도 최근 퇴직금은 정말 이해할수 없다라구요돈 안준 이모도 남자친구는 계속 보는상황이고 결혼준비후 모든 비용을 다 제가 부담하고 있습니다 사실 힘들어요저도 제부모님 용돈드리고 싶은데 안드리고 모은돈으로 결혼준비하는데점점 너무하다는 생각이 들더라구요더 화가나는건 이모한테 받을돈을 엄마한테 받아야하는것 아니냐고 제가 말한 후 막상 남자친구 부모님이 힘들다니깐 남자친구는 제대로 말도 못한것 같더라구요현재 결혼비용 모자랍니다근데 그 부모님은 보태주지 못할망정 못버는거 알면서 주는대로 받았어요결혼 준비중인데 일체 저한테 말도 안했구요경제관념이 너무나도 없고 그냥 좋은게 좋다 이런식인데 너무 답답합니다잘벌면 얼마를 주던 상관안해요현재 수입도 없고 대출상품도 잘못알아봐서 이자비용을 남들보다 한달에 만원씩 더내고있어요상품갈아타려고했을때 또 퇴사한다고해서 주만 미뤄보라고 했지만 결국 대출상품 안갈아탁 퇴사를 해버렸습니다이런 경제관념이 제로인 남자친구 어떻게 해야하나요예비 시댁분들도 다꼴보고 싫어요 솔직히머리가 복잡합니다 
여자들은 결혼할 떄 남자보다 돈이 항상 적을까요	여자가 대 이후로 사회생활은 년 먼저하는데대 중반에 결혼할때면 여자는 천 모으고년 사회생활후 결혼한다해도 남자가 한달만원 더 벌어도 년이면 년해봐야 이자포함 천 정도인데여자 천 남자억이면 여자들은 그걸로 부족하다고 결혼 안하려는거 같은데거지근성 때문에 그런가요 그런데 말입니다차 없는 여자가 대부분인데 차도 없으면서데이트비용은 대부분 남자가 더 내잖아요 이해불가흥청망청 여행다니고 명품사고 결혼할때 한몫 잡을려고 하는건가요아니면 결혼할때 혼수 천이면 되니까 그돈만 모아놓고 나머진남자가 알아서 한다는 마인드 궁금합니다 
 인 애들 찐으로 이럼	과몰입아니고 궁금해서 
동남아인들이 말랏다는 거 구라 아님	몇일전 베플 보니까 일본 동남아가  마른사람이 많다고 그러던데동남아 보면 약간 살집있고 통통은 조카 많음    비만이 잘 없다 뿐이지 마름 보다 통통 살짝 퉁퉁이 더 많던데일본도 약간 살집 있고 통통은 많음그냥 다 키가 작고 골격이 작으니 아담해보이는거지 마른사람이 많진않아 
결혼 예정인 대 중반 남자인데 아내 될 사람이 경제권을 원해요	남자  여자 일한 년차도 년차로 서로 비슷 하고 현제 연봉은 남자가 조금 높은 수준임이정도면 경제권 줘도 사실 별 지장은 없는데한가지 불안한게저는 정도 제 연봉에서 저금해서 모아둔 돈이있고 중고차긴 하지만제차도 있습니다여자는 저랑 연봉도 거의 비슷한데  정도밖에 못모았더라구요 차도 없구요연봉차이가 많이 나는거도 아니고 연차도 비슷한데요둘다 집안은 중산층정도로 딱히 집에다가 드리는 돈은 없고 따로 타쓰는 적도 없는 상황이고자기 월급은 직접 관리했습니다아내될 여자의 소비습관을 꼬치꼬치 캐묻는것도 그래서암말 안하긴 했지만경제권은 제가 갖거나 아니면 서로 관리하는게 전 더 좋을꺼 같은데여자는 무조건 자기가 갖고 싶대요이걸 기분 안나쁘게 설득하려면 어떻게 해야하죠 
어머니가 오늘 학부모 모임을 갔다 오셨는데	저는 중이구요 공부는 중하위권 정도로 못합니다사는 지역은 수성구이구요제목 그대로 어머니가 오늘 학부모 모임을 다녀 오셨습니다 초등학교 때 만났던 다른 학부모들도 다 모였는데 그 많은 사람 앞에서 여러명이 제가 공부 못한다는 사실을 가지고 어머니를 돌려 깐 모양이더라고요 이는 옛날에는 잘했는데 지금은 영 이라던지 이 이번 성적이  아래라면서요 고등학교는 어떡하려구 라는 등 은근히 돌려서 사람 기분 나쁘게 했다고 합니다어머니는 이후 집에 돌아오셔서 처음으로 저에게 공부를 조금 하면 안되냐고 왜 엄마도 모르는 내 퍼센티지를 다른 사람들은 다 아냐고 말씀하셨습니다 자신이 저 때문에 부끄러운게 아닌 제가 그런 사람들 입에 오르내리는게 싫다고 하셨습니다 어머니가 그런 모욕을 당했다는 사실이 매우 화가 나고 제 자신이 처음으로 부끄러워졌습니다 그래서 공부를 열심히 하고 싶습니다 그렇지만 지금은 무엇부터 먼저 해야할지 감도 잡히지 않습니다 제발 저 좀 도와주세요 적어도 어머니께 그렇게 말한 학부모의 자식보다는 제가 더 잘하고 싶습니다  
